userid,probability
55597,0.4
55598,0.1
55599,0.5
55600,0.2
55601,0.3
55602,0.1
55603,0.0
55604,0.2
55605,0.3
55606,0.2
55607,0.1
55608,0.2
55609,0.2
55610,0.3
55611,0.2
55612,0.2
55613,0.1
55614,0.5
55615,0.3
55616,0.0
55617,0.1
55618,0.0
55619,0.2
55620,0.1
55621,0.0
55622,0.2
55623,0.2
55624,0.0
55625,0.1
55626,0.0
55627,0.1
55628,0.1
55629,0.0
55630,0.5
55631,0.1
55632,0.3
55633,0.0
55634,0.4
55635,0.0
55636,0.3
55637,0.1
55638,0.1
55639,0.1
55640,0.1
55641,0.2
55642,0.4
55643,0.1
55644,0.4
55645,0.1
55646,0.1
55647,0.2
55648,0.2
55649,0.2
55650,0.1
55651,0.0
55652,0.2
55653,0.2
55654,0.2
55655,0.2
55656,0.1
55657,0.3
55658,0.0
55659,0.1
55660,0.1
55661,0.2
55662,0.3
55663,0.3
55664,0.0
55665,0.0
55666,0.1
55667,0.7
55668,0.1
55669,0.5
55670,0.0
55671,0.2
55672,0.3
55673,0.1
55674,0.2
55675,0.0
55676,0.0
55677,0.1
55678,0.4
55679,0.2
55680,0.0
55681,0.1
55682,0.5
55683,0.0
55684,0.0
55685,0.5
55686,0.2
55687,0.1
55688,0.2
55689,0.1
55690,0.2
55691,0.0
55692,0.3
55693,0.1
55694,0.1
55695,0.1
55696,0.3
55697,0.1
55698,0.0
55699,0.3
55700,0.1
55701,0.2
55702,0.2
55703,0.3
55704,0.3
55705,0.1
55706,0.3
55707,0.1
55708,0.1
55709,0.2
55710,0.3
55711,0.2
55712,0.1
55713,0.0
55714,0.2
55715,0.2
55716,0.0
55717,0.0
55718,0.1
55719,0.2
55720,0.3
55721,0.1
55722,0.1
55723,0.0
55724,0.4
55725,0.1
55726,0.1
55727,0.1
55728,0.4
55729,0.1
55730,0.1
55731,0.0
55732,0.2
55733,0.1
55734,0.0
55735,0.4
55736,0.5
55737,0.4
55738,0.2
55739,0.1
55740,0.2
55741,0.2
55742,0.1
55743,0.4
55744,0.0
55745,0.1
55746,0.3
55747,0.0
55748,0.1
55749,0.1
55750,0.2
55751,0.1
55752,0.1
55753,0.6
55754,0.0
55755,0.1
55756,0.2
55757,0.3
55758,0.3
55759,0.3
55760,0.0
55761,0.1
55762,0.0
55763,0.2
55764,0.1
55765,0.3
55766,0.2
55767,0.5
55768,0.4
55769,0.0
55770,0.2
55771,0.1
55772,0.3
55773,0.0
55774,0.1
55775,0.1
55776,0.1
55777,0.4
55778,0.2
55779,0.3
55780,0.1
55781,0.2
55782,0.3
55783,0.3
55784,0.1
55785,0.3
55786,0.2
55787,0.0
55788,0.1
55789,0.1
55790,0.1
55791,0.1
55792,0.2
55793,0.1
55794,0.6
55795,0.0
55796,0.1
55797,0.3
55798,0.0
55799,0.1
55800,0.0
55801,0.1
55802,0.1
55803,0.3
55804,0.1
55805,0.3
55806,0.3
55807,0.2
55808,0.1
55809,0.2
55810,0.4
55811,0.0
55812,0.2
55813,0.2
55814,0.1
55815,0.2
55816,0.0
55817,0.3
55818,0.2
55819,0.0
55820,0.3
55821,0.1
55822,0.4
55823,0.2
55824,0.0
55825,0.1
55826,0.3
55827,0.2
55828,0.4
55829,0.2
55830,0.0
55831,0.1
55832,0.1
55833,0.3
55834,0.2
55835,0.2
55836,0.1
55837,0.2
55838,0.3
55839,0.5
55840,0.3
55841,0.3
55842,0.2
55843,0.1
55844,0.1
55845,0.0
55846,0.1
55847,0.2
55848,0.2
55849,0.0
55850,0.2
55851,0.2
55852,0.0
55853,0.1
55854,0.3
55855,0.1
55856,0.1
55857,0.1
55858,0.5
55859,0.2
55860,0.6
55861,0.3
55862,0.3
55863,0.0
55864,0.0
55865,0.2
55866,0.2
55867,0.0
55868,0.0
55869,0.0
55870,0.2
55871,0.1
55872,0.2
55873,0.2
55874,0.0
55875,0.3
55876,0.0
55877,0.0
55878,0.2
55879,0.3
55880,0.1
55881,0.0
55882,0.3
55883,0.5
55884,0.1
55885,0.0
55886,0.2
55887,0.0
55888,0.4
55889,0.2
55890,0.1
55891,0.2
55892,0.2
55893,0.1
55894,0.0
55895,0.1
55896,0.1
55897,0.2
55898,0.4
55899,0.1
55900,0.5
55901,0.0
55902,0.1
55903,0.0
55904,0.4
55905,0.1
55906,0.4
55907,0.3
55908,0.0
55909,0.2
55910,0.0
55911,0.2
55912,0.0
55913,0.0
55914,0.1
55915,0.0
55916,0.0
55917,0.2
55918,0.2
55919,0.0
55920,0.3
55921,0.3
55922,0.0
55923,0.3
55924,0.1
55925,0.2
55926,0.3
55927,0.2
55928,0.1
55929,0.2
55930,0.2
55931,0.7
55932,0.1
55933,0.3
55934,0.1
55935,0.0
55936,0.0
55937,0.0
55938,0.3
55939,0.2
55940,0.3
55941,0.3
55942,0.1
55943,0.0
55944,0.4
55945,0.0
55946,0.2
55947,0.2
55948,0.2
55949,0.0
55950,0.3
55951,0.3
55952,0.0
55953,0.4
55954,0.0
55955,0.1
55956,0.1
55957,0.2
55958,0.1
55959,0.1
55960,0.2
55961,0.2
55962,0.1
55963,0.2
55964,0.2
55965,0.3
55966,0.3
55967,0.0
55968,0.1
55969,0.2
55970,0.0
55971,0.2
55972,0.0
55973,0.2
55974,0.2
55975,0.1
55976,0.1
55977,0.2
55978,0.1
55979,0.0
55980,0.1
55981,0.3
55982,0.1
55983,0.1
55984,0.2
55985,0.0
55986,0.1
55987,0.3
55988,0.0
55989,0.0
55990,0.2
55991,0.2
55992,0.1
55993,0.0
55994,0.3
55995,0.7
55996,0.2
55997,0.1
55998,0.2
55999,0.4
56000,0.3
56001,0.0
56002,0.1
56003,0.4
56004,0.0
56005,0.0
56006,0.4
56007,0.1
56008,0.1
56009,0.2
56010,0.0
56011,0.0
56012,0.0
56013,0.2
56014,0.0
56015,0.1
56016,0.4
56017,0.2
56018,0.1
56019,0.4
56020,0.0
56021,0.2
56022,0.5
56023,0.0
56024,0.2
56025,0.0
56026,0.1
56027,0.1
56028,0.3
56029,0.2
56030,0.4
56031,0.2
56032,0.4
56033,0.0
56034,0.1
56035,0.2
56036,0.1
56037,0.2
56038,0.4
56039,0.3
56040,0.0
56041,0.1
56042,0.1
56043,0.2
56044,0.1
56045,0.3
56046,0.1
56047,0.1
56048,0.0
56049,0.0
56050,0.0
56051,0.0
56052,0.2
56053,0.3
56054,0.4
56055,0.0
56056,0.1
56057,0.0
56058,0.3
56059,0.0
56060,0.1
56061,0.3
56062,0.0
56063,0.0
56064,0.3
56065,0.1
56066,0.1
56067,0.2
56068,0.1
56069,0.2
56070,0.3
56071,0.0
56072,0.4
56073,0.1
56074,0.0
56075,0.4
56076,0.0
